model,model_extra,dataset,dataset_extra,emb_dim,n_gallery,n_query,retriever_type,Recall@1,Recall@5,Recall@10
facebook/dinov3-vitb16-pretrain-lvd1689m,{},visloc,"{'flight_id': '03', 'chunk_pixels': 256, 'chunk_stride': 64, 'map_scale_factor': 0.125}",768,2860,768,ip,0.33984375,0.5872395833333334,0.6731770833333334
facebook/dinov3-vith16plus-pretrain-lvd1689m,{},visloc,"{'flight_id': '03', 'chunk_pixels': 256, 'chunk_stride': 64, 'map_scale_factor': 0.125}",1280,2860,768,ip,0.3372395833333333,0.5807291666666666,0.6666666666666666
facebook/dinov2-large,{},visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",1024,2860,768,ip,0.2252604166666666,0.3841145833333333,0.5065104166666666
MVRL/remote-clip-vit-base-patch32,{},visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",512,2860,768,ip,0.0703125,0.1796875,0.25390625
diffusionsat,"{'embedder': 'PoolConcatEmbedder', 'img_size': 256, 'batch_size': 256, 'save_timesteps': [8, 7], 'num_timesteps': 10, 'layer_idxs': {'down_blocks': {'attn1': 'all'}}, 'diffusion_mode': 'inversion', 'prompt': 'A satellite image', 'negative_prompt': '', 'resize_outputs': -1, 'max_i': None, 'min_i': None}",visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",8960,2860,768,ip,0.0234375,0.0416666666666666,0.05859375
facebook/dinov3-vitl16-pretrain-sat493m,{},visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",1024,2860,768,ip,0.01953125,0.0625,0.0794270833333333
facebook/dinov3-vitl16-pretrain-sat493m,{},visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",1024,2860,768,ip,0.01953125,0.0625,0.0794270833333333
diffusionsat,"{'embedder': 'PoolConcatEmbedder', 'img_size': 256, 'batch_size': 256, 'save_timesteps': [7, 8], 'num_timesteps': 10, 'layer_idxs': {'up_blocks': {'attn1': 'all'}}, 'diffusion_mode': 'generation', 'prompt': 'A satellite image', 'negative_prompt': '', 'resize_outputs': -1, 'max_i': None, 'min_i': None}",visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",6720,2860,768,ip,0.0143229166666666,0.046875,0.0768229166666666
MVRL/rvsa_vitae_b,"{'method': 'forward_encoder,CLS token'}",visloc,"{'flight_id': '03', 'chunk_pixels': 256, 'chunk_stride': 64, 'map_scale_factor': 0.125}",768,2860,768,ip,0.009114583333333334,0.01171875,0.016927083333333332
diffusionsat,"{'embedder': 'PoolConcatEmbedder', 'img_size': 256, 'batch_size': 256, 'save_timesteps': [47, 45, 40], 'num_timesteps': 50, 'layer_idxs': {'up_blocks': {'attn1': 'all', 'conv2': 'all'}}, 'diffusion_mode': 'inversion', 'prompt': 'A satellite image', 'negative_prompt': '', 'resize_outputs': -1, 'max_i': None, 'min_i': None}",visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",51840,2860,768,ip,0.00390625,0.0208333333333333,0.03515625
sd2-community/stable-diffusion-2-1,"{'embedder': 'PoolConcatEmbedder', 'img_size': 256, 'batch_size': 256, 'save_timesteps': [8, 7], 'num_timesteps': 10, 'layer_idxs': {'down_blocks': {'attn1': 'all'}}, 'diffusion_mode': 'inversion', 'prompt': 'A satellite image', 'negative_prompt': '', 'resize_outputs': -1, 'max_i': None, 'min_i': None}",visloc,"{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}",8960,2860,768,ip,0.00390625,0.015625,0.0299479166666666
MVRL/satmaepp_ViT-L_pretrain_fmow_rgb,"{'method': 'forward_encoder,CLS token'}",visloc,"{'flight_id': '03', 'chunk_pixels': 256, 'chunk_stride': 64, 'map_scale_factor': 0.125}",1024,2860,768,ip,0.0,0.0013020833333333,0.0026041666666666
