save_timesteps,num_timesteps,layer_idxs,emb_dim,n_gallery,n_query,normalize_embeddings,elapsed_s,Recall@1,Recall@5,Recall@10,avg_gt_chunks
[21],25,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,174.8,0.0260416666666666,0.0416666666666666,0.05859375,
"[8, 7]",10,{'down_blocks': {'attn1': 'all'}},8960,2860,768,True,71.7,0.0260416666666666,0.0442708333333333,0.05859375,
[42],50,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,347.2,0.0247395833333333,0.0416666666666666,0.05859375,
[7],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.4,0.0247395833333333,0.0403645833333333,0.0559895833333333,
"[48, 46, 42]",50,{'down_blocks': {'attn1': 'all'}},13440,2860,768,True,347.9,0.0247395833333333,0.046875,0.0625,
[47],50,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,347.1,0.0234375,0.0442708333333333,0.0533854166666666,
"[8, 7, 6]",10,{'down_blocks': {'attn1': 'all'}},13440,2860,768,True,71.6,0.0234375,0.04296875,0.0598958333333333,
"[9, 8, 6]",10,{'down_blocks': {'attn1': 'all'}},13440,2860,768,True,73.1,0.0208333333333333,0.0442708333333333,0.0598958333333333,
"[49, 48, 47]",50,{'down_blocks': {'attn1': 'all'}},13440,2860,768,True,350.5,0.0208333333333333,0.0442708333333333,0.0572916666666666,
[9],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.3,0.0182291666666666,0.0403645833333333,0.0625,
"[49, 48]",50,{'down_blocks': {'attn1': 'all'}},8960,2860,768,True,347.7,0.0182291666666666,0.0403645833333333,0.0611979166666666,
[49],50,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,348.1,0.0182291666666666,0.0403645833333333,0.0625,
[2],3,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,24.0,0.0182291666666666,0.0403645833333333,0.0625,
[3],5,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,37.0,0.0182291666666666,0.0416666666666666,0.0598958333333333,
[4],5,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,36.6,0.0182291666666666,0.0403645833333333,0.0625,
[8],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.2,0.0182291666666666,0.0416666666666666,0.0598958333333333,
"[7, 6]",10,{'down_blocks': {'attn1': 'all'}},8960,2860,768,True,71.6,0.0169270833333333,0.0377604166666666,0.0546875,
"[8, 7]",10,{'up_blocks': {'attn1': 'all'}},13440,2860,768,True,75.5,0.015625,0.049479166666666664,0.06380208333333333,15.86
"[8, 7, 6]",10,{'up_blocks': {'attn1': 'all'}},20160,2860,768,True,72.7,0.014322916666666666,0.046875,0.07682291666666667,15.86
"[19, 18, 17]",25,{'down_blocks': {'attn1': 'all'}},13440,2860,768,True,175.2,0.0143229166666666,0.03125,0.0481770833333333,
[6],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.2,0.0065104166666666,0.0247395833333333,0.05078125,
[17],25,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,174.6,0.0065104166666666,0.02734375,0.0377604166666666,
[2],5,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,36.7,0.0052083333333333,0.0247395833333333,0.0364583333333333,
[3],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.1,0.0052083333333333,0.01171875,0.0247395833333333,
[5],10,{'down_blocks': {'attn1': 'all'}},4480,2860,768,True,71.5,0.00390625,0.0143229166666666,0.02734375,
